number,value,datetime_start,datetime_complete,duration,params_dt_criterion,params_dt_max_depth,params_dt_min_samples_leaf,params_dt_min_samples_split,params_dt_splitter,params_feature_selector,params_hgb_learning_rate,params_hgb_max_bins,params_hgb_max_depth,params_hgb_max_iter,params_lasso_alpha,params_lgb_feature_fraction,params_lgb_learning_rate,params_lgb_max_depth,params_lgb_n_estimators,params_lgb_num_leaves,params_model,params_rf_bootstrap,params_rf_criterion,params_rf_max_depth,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_scaler,params_xgb_alpha,params_xgb_booster,params_xgb_lambda,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_n_estimators,user_attrs_MAE,user_attrs_MSE,user_attrs_R2,user_attrs_error,state
40,,2025-05-04 05:04:42.823593,2025-05-04 05:04:43.205477,0 days 00:00:00.381884,mae,30.0,1.0,4.0,best,lasso,,,,,0.652107010125627,,,,,,DecisionTree,,,,,,,robust,,,,,,,,,,"Input X contains NaN.
Lasso does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",PRUNED
41,,2025-05-04 05:04:42.853819,2025-05-04 05:04:43.176799,0 days 00:00:00.322980,,,,,,lasso,,,,,0.40141408056226463,0.42973558299362535,0.06379627622510986,1.0,55.0,25.0,LightGBM,,,,,,,robust,,,,,,,,,,"Input X contains NaN.
Lasso does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",PRUNED
42,,2025-05-04 05:04:42.866087,2025-05-04 05:04:43.189676,0 days 00:00:00.323589,,,,,,lasso,,,,,0.5667902228039882,0.9720100107136028,0.07192795532201166,1.0,39.0,28.0,LightGBM,,,,,,,robust,,,,,,,,,,"Input X contains NaN.
Lasso does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",PRUNED
43,,2025-05-04 05:04:42.874965,2025-05-04 05:04:43.479108,0 days 00:00:00.604143,mse,29.0,1.0,7.0,best,lasso,,,,,0.9047381243053559,,,,,,DecisionTree,,,,,,,robust,,,,,,,,,,"Input X contains NaN.
Lasso does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",PRUNED
44,,2025-05-04 05:04:42.880504,2025-05-04 05:04:43.369449,0 days 00:00:00.488945,mse,29.0,1.0,7.0,best,lasso,,,,,0.8786470100365984,,,,,,DecisionTree,,,,,,,robust,,,,,,,,,,"Input X contains NaN.
Lasso does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",PRUNED
45,,2025-05-04 05:04:42.897833,2025-05-04 05:04:43.366974,0 days 00:00:00.469141,mse,30.0,2.0,7.0,best,lasso,,,,,0.3453492700110088,,,,,,DecisionTree,,,,,,,robust,,,,,,,,,,"Input X contains NaN.
Lasso does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",PRUNED
46,,2025-05-04 05:04:42.906933,2025-05-04 05:04:43.494628,0 days 00:00:00.587695,mse,30.0,1.0,7.0,best,lasso,,,,,0.3174470199529453,,,,,,DecisionTree,,,,,,,robust,,,,,,,,,,"Input X contains NaN.
Lasso does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",PRUNED
47,,2025-05-04 05:04:42.923218,2025-05-04 05:04:43.648223,0 days 00:00:00.725005,mse,29.0,1.0,7.0,best,lasso,,,,,0.5512644595972196,,,,,,DecisionTree,,,,,,,robust,,,,,,,,,,"Input X contains NaN.
Lasso does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",PRUNED
48,,2025-05-04 05:04:42.971219,2025-05-04 05:04:43.626808,0 days 00:00:00.655589,mse,30.0,1.0,7.0,best,lasso,,,,,0.0035688161543778385,,,,,,DecisionTree,,,,,,,maxabs,,,,,,,,,,"Input X contains NaN.
Lasso does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",PRUNED
49,,2025-05-04 05:04:42.993233,2025-05-04 05:04:43.574857,0 days 00:00:00.581624,mse,30.0,1.0,7.0,best,lasso,,,,,0.002835953926520796,,,,,,DecisionTree,,,,,,,maxabs,,,,,,,,,,"Input X contains NaN.
Lasso does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",PRUNED
50,107.84678822661296,2025-05-04 05:04:43.009454,2025-05-04 05:04:44.629523,0 days 00:00:01.620069,,,,,,none,,,,,,0.4513698293724501,0.06895418961639878,0.0,61.0,24.0,LightGBM,,,,,,,maxabs,,,,,,,27.056588652820817,11630.929730795902,0.8131142196716826,,COMPLETE
51,131.4084170632522,2025-05-04 05:04:43.018073,2025-05-04 05:04:44.502780,0 days 00:00:01.484707,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.055647902062216925,gblinear,0.013171484245393734,0.9255545337330912,29.0,115.0,32.39636037769802,17268.172075069626,0.7225350141525269,,COMPLETE
52,94.41202619275765,2025-05-04 05:04:43.032750,2025-05-04 05:04:45.009293,0 days 00:00:01.976543,,,,,,none,,,,,,0.9992531612874016,0.07677171219259839,0.0,78.0,25.0,LightGBM,,,,,,,maxabs,,,,,,,23.72851368118042,8913.630689821957,0.8567757809923745,,COMPLETE
53,131.7871105960493,2025-05-04 05:04:43.049954,2025-05-04 05:04:44.582227,0 days 00:00:01.532273,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.007051116992341511,gblinear,0.01194479723923043,0.9425372954680067,30.0,111.0,32.34790188514413,17367.84251925533,0.7209334373474121,,COMPLETE
54,131.86742780380766,2025-05-04 05:04:43.062129,2025-05-04 05:04:44.419733,0 days 00:00:01.357604,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.008060379495255177,gblinear,0.023178263435423025,0.9867501747121621,30.0,108.0,32.86240514534845,17389.018515592426,0.7205932140350342,,COMPLETE
55,131.4770921736538,2025-05-04 05:04:43.079863,2025-05-04 05:04:44.637030,0 days 00:00:01.557167,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.044866042410318996,gblinear,0.00245676446684822,0.9313899438969121,30.0,120.0,32.36989890565405,17286.225766439456,0.722244918346405,,COMPLETE
56,131.1800179664141,2025-05-04 05:04:43.082864,2025-05-04 05:04:44.593623,0 days 00:00:01.510759,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.08725010250125798,gblinear,0.014591907707901947,0.9849816447771487,30.0,110.0,32.49574308754098,17208.197113668728,0.7234987020492554,,COMPLETE
57,136.82491656611498,2025-05-04 05:04:43.105349,2025-05-04 05:04:44.672113,0 days 00:00:01.566764,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.037995442277169,gblinear,0.023409621547038545,0.010750951505882246,30.0,113.0,39.81986968342582,18721.057793324326,0.6991900205612183,,COMPLETE
58,131.52486037691125,2025-05-04 05:04:43.109123,2025-05-04 05:04:44.624773,0 days 00:00:01.515650,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.039124654122621005,gblinear,0.03133321859559121,0.9895958006180611,29.0,111.0,32.47257039310332,17298.788897166,0.7220430374145508,,COMPLETE
59,136.58423534358067,2025-05-04 05:04:43.114473,2025-05-04 05:04:44.576729,0 days 00:00:01.462256,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.11186676330414869,gblinear,0.0012021510191383353,0.010812408456709782,29.0,112.0,40.052637767680686,18655.25334439063,0.7002473473548889,,COMPLETE
60,131.50499326796066,2025-05-04 05:04:43.116989,2025-05-04 05:04:44.482143,0 days 00:00:01.365154,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.04799923225700367,gblinear,0.006321224039948628,0.897373835657074,28.0,110.0,32.965220315963414,17293.56325440638,0.7221269607543945,,COMPLETE
61,131.0720100518356,2025-05-04 05:04:43.127559,2025-05-04 05:04:44.708891,0 days 00:00:01.581332,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.10475725305570172,gblinear,0.0103884325407222,0.8236428316543858,28.0,105.0,32.58594458316728,17179.871819028493,0.7239538431167603,,COMPLETE
62,131.6395758909757,2025-05-04 05:04:43.131106,2025-05-04 05:04:44.795209,0 days 00:00:01.664103,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.026917677261287777,gblinear,0.008997248791654977,0.9417405814234898,30.0,107.0,32.45006131950084,17328.977940755947,0.7215579748153687,,COMPLETE
63,136.72600324627328,2025-05-04 05:04:43.134002,2025-05-04 05:04:44.694329,0 days 00:00:01.560327,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.06883234573248964,gblinear,0.005612039802149041,0.01082050882618945,29.0,112.0,39.92471220788104,18693.99996369993,0.69962477684021,,COMPLETE
64,131.48875731680172,2025-05-04 05:04:43.163731,2025-05-04 05:04:44.540498,0 days 00:00:01.376767,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.05095173134531672,gblinear,0.007401573550288809,0.9927148686456391,30.0,100.0,32.64811813499901,17289.293300716778,0.7221956253051758,,COMPLETE
65,131.86924004184678,2025-05-04 05:04:43.165379,2025-05-04 05:04:44.589952,0 days 00:00:01.424573,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.0004352923465921199,gblinear,0.016034367574044514,0.8712183596537381,30.0,101.0,32.66140469114904,17389.496469214206,0.7205855250358582,,COMPLETE
66,131.378907596883,2025-05-04 05:04:43.179590,2025-05-04 05:04:44.689405,0 days 00:00:01.509815,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.057947961705923534,gblinear,0.03547145529888728,0.9252104607334225,30.0,111.0,32.431622422317766,17260.417361350326,0.7226595878601074,,COMPLETE
67,131.68539844905592,2025-05-04 05:04:43.193616,2025-05-04 05:04:44.683192,0 days 00:00:01.489576,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.020726989281822372,gblinear,0.046934695101606604,0.9861790711668452,30.0,107.0,32.40226820709857,17341.044164686624,0.7213640809059143,,COMPLETE
68,131.70345673473597,2025-05-04 05:04:43.211839,2025-05-04 05:04:44.644867,0 days 00:00:01.433028,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.020023777215218308,gblinear,0.008249882827869648,0.9111717333208228,30.0,102.0,32.491361715922686,17345.800515878465,0.7212876081466675,,COMPLETE
69,131.35349672160092,2025-05-04 05:04:43.221877,2025-05-04 05:04:44.810879,0 days 00:00:01.589002,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.060108989881595076,gblinear,0.09599796667455407,0.9195261752617739,30.0,109.0,32.50551273550471,17253.74110099162,0.7227668762207031,,COMPLETE
70,136.91349435971603,2025-05-04 05:04:43.227879,2025-05-04 05:04:44.734640,0 days 00:00:01.506761,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.027684012005275416,gblinear,0.0035372143854159876,0.011009313117191765,29.0,113.0,39.646627322954295,18745.30493778799,0.6988004446029663,,COMPLETE
71,131.7219865515135,2025-05-04 05:04:43.240486,2025-05-04 05:04:44.858228,0 days 00:00:01.617742,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.01187976854943998,gblinear,0.001458707835032845,0.7461600555522214,30.0,121.0,32.33335036337551,17350.681741077107,0.7212092280387878,,COMPLETE
72,131.7603727319629,2025-05-04 05:04:43.412698,2025-05-04 05:04:44.882069,0 days 00:00:01.469371,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.010247842126044236,gblinear,0.01315931169386143,0.8154402382421431,30.0,114.0,32.388987421609045,17360.795822465792,0.7210466861724854,,COMPLETE
73,131.82676071633122,2025-05-04 05:04:43.423057,2025-05-04 05:04:44.907075,0 days 00:00:01.484018,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.000569823427795102,gblinear,0.005673987538095095,0.9096753680581103,30.0,119.0,32.45834505032669,17378.29484096085,0.7207655310630798,,COMPLETE
74,136.94223238909098,2025-05-04 05:04:43.538966,2025-05-04 05:04:44.889804,0 days 00:00:01.350838,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.041340744730964774,gblinear,0.0034935652198909706,0.011582794304340817,30.0,113.0,39.37866515826276,18753.175011707797,0.6986739635467529,,COMPLETE
75,131.7869829008357,2025-05-04 05:04:43.561058,2025-05-04 05:04:44.909762,0 days 00:00:01.348704,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.002153741186940481,gblinear,0.02271885444532354,0.9545925709970748,29.0,108.0,32.40860087703039,17367.808862105165,0.7209340333938599,,COMPLETE
76,131.65765459511744,2025-05-04 05:04:43.617888,2025-05-04 05:04:44.845293,0 days 00:00:01.227405,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.020815246310471124,gblinear,0.014076616444282134,0.9944933613983152,29.0,101.0,32.204531472027654,17333.738013487244,0.721481442451477,,COMPLETE
77,131.34897329986816,2025-05-04 05:04:43.672506,2025-05-04 05:04:44.952503,0 days 00:00:01.279997,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.06228835263069626,gblinear,0.00046462748874899484,0.7384904430131258,30.0,115.0,32.453961465114226,17252.55278692948,0.7227859497070312,,COMPLETE
78,131.57294388617103,2025-05-04 05:04:43.707670,2025-05-04 05:04:44.861346,0 days 00:00:01.153676,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.03504797855513453,gblinear,0.012431279606304028,0.8877348092084972,30.0,107.0,32.44595888643548,17311.439562873515,0.7218397855758667,,COMPLETE
79,131.5701232946231,2025-05-04 05:04:44.434978,2025-05-04 05:04:45.768400,0 days 00:00:01.333422,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.0352778518259633,gblinear,0.0009953830480266823,0.9877182036406373,30.0,125.0,32.44068779940651,17310.697343762327,0.7218517065048218,,COMPLETE
80,131.77859670316175,2025-05-04 05:04:44.504230,2025-05-04 05:04:45.718235,0 days 00:00:01.214005,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.004540806428122476,gblinear,0.20124790833513218,0.32880090815481666,30.0,115.0,32.31058375076325,17365.598549054557,0.720969557762146,,COMPLETE
81,130.72085300110558,2025-05-04 05:04:44.528758,2025-05-04 05:04:45.834850,0 days 00:00:01.306092,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.1594718684134629,gblinear,0.20791450669389608,0.9935798955359136,30.0,111.0,32.67544131535389,17087.941409336658,0.7254309058189392,,COMPLETE
82,103.70489679913229,2025-05-04 05:04:44.553904,2025-05-04 05:05:02.205070,0 days 00:00:17.651166,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.24875712082855317,gbtree,0.22741002465849816,0.3697732722287426,25.0,143.0,23.823089427926835,10754.705620118679,0.8271933794021606,,COMPLETE
83,90.28174135747368,2025-05-04 05:04:44.618015,2025-05-04 05:05:00.974707,0 days 00:00:16.356692,,,,,,none,,,,,,0.5919944999358289,0.2185914375425901,5.0,840.0,126.0,LightGBM,,,,,,,maxabs,,,,,,,22.004395310381906,8150.792822537774,0.8690330599366296,,COMPLETE
84,102.34328982420854,2025-05-04 05:04:44.623728,2025-05-04 05:05:01.593757,0 days 00:00:16.970029,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.22177154855042303,gbtree,0.19600193795921078,0.44069326961704997,25.0,144.0,23.942746004689827,10474.148972041949,0.8317013382911682,,COMPLETE
85,104.18875989428054,2025-05-04 05:04:44.634114,2025-05-04 05:04:57.326470,0 days 00:00:12.692356,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.2204869946386417,gbtree,0.2106024259258632,0.42819350811208223,25.0,86.0,23.80989167533056,10855.297688308041,0.8255770802497864,,COMPLETE
86,85.29555454869063,2025-05-04 05:04:44.677064,2025-05-04 05:05:04.381754,0 days 00:00:19.704690,,,,,,none,,,,,,0.5883704092844009,0.21528324135158278,5.0,978.0,111.0,LightGBM,,,,,,,maxabs,,,,,,,21.205283111009777,7275.331625768658,0.8830999705527393,,COMPLETE
87,82.87728944380996,2025-05-04 05:04:44.711150,2025-05-04 05:05:04.165548,0 days 00:00:19.454398,,,,,,none,,,,,,0.5911535889581707,0.24523496193664096,5.0,944.0,114.0,LightGBM,,,,,,,maxabs,,,,,,,21.028631163593996,6868.645105553052,0.8896346096090015,,COMPLETE
88,86.9387463704645,2025-05-04 05:04:44.729367,2025-05-04 05:05:03.510653,0 days 00:00:18.781286,,,,,,none,,,,,,0.5835810116882584,0.21062006075647438,5.0,986.0,116.0,LightGBM,,,,,,,maxabs,,,,,,,21.921010461994562,7558.345620467954,0.878552501651507,,COMPLETE
89,84.84029459466106,2025-05-04 05:04:44.733757,2025-05-04 05:05:02.837225,0 days 00:00:18.103468,,,,,,none,,,,,,0.5823570963296403,0.23708917352258335,5.0,873.0,117.0,LightGBM,,,,,,,maxabs,,,,,,,21.276783160430913,7197.8755869088745,0.884344534194554,,COMPLETE
90,86.22946851183544,2025-05-04 05:04:44.741679,2025-05-04 05:05:10.375109,0 days 00:00:25.633430,,,,,,none,,,,,,0.6361734003168352,0.23350504723174825,6.0,959.0,120.0,LightGBM,,,,,,,maxabs,,,,,,,21.21047778666969,7435.521239833619,0.8805260438144703,,COMPLETE
91,84.52131154782624,2025-05-04 05:04:44.782267,2025-05-04 05:05:04.717444,0 days 00:00:19.935177,,,,,,none,,,,,,0.5896976490433878,0.23389064382591152,5.0,981.0,103.0,LightGBM,,,,,,,maxabs,,,,,,,21.464767563280397,7143.852105764705,0.8852125834961457,,COMPLETE
92,83.35170699767286,2025-05-04 05:04:44.803274,2025-05-04 05:04:59.228438,0 days 00:00:14.425164,,,,,,none,,,,,,0.5902185536503732,0.2087153469693698,4.0,974.0,104.0,LightGBM,,,,,,,maxabs,,,,,,,21.62383583041165,6947.507059425907,0.8883674557245859,,COMPLETE
93,85.58830167060376,2025-05-04 05:04:44.814345,2025-05-04 05:04:59.069490,0 days 00:00:14.255145,,,,,,none,,,,,,0.5881375373589245,0.23077860743417491,4.0,980.0,124.0,LightGBM,,,,,,,maxabs,,,,,,,21.90731184875982,7325.357382858274,0.882296156681742,,COMPLETE
94,87.50076846041254,2025-05-04 05:04:44.862323,2025-05-04 05:05:03.799132,0 days 00:00:18.936809,,,,,,none,,,,,,0.6227597983359641,0.24081206616244655,5.0,921.0,107.0,LightGBM,,,,,,,maxabs,,,,,,,21.631092040636993,7656.384481162727,0.8769772132259455,,COMPLETE
95,81.81403443307228,2025-05-04 05:04:44.881448,2025-05-04 05:05:04.850807,0 days 00:00:19.969359,,,,,,none,,,,,,0.5957115636188034,0.22645066372261294,5.0,992.0,125.0,LightGBM,,,,,,,maxabs,,,,,,,21.045041091484126,6693.5362302159365,0.8924482590392051,,COMPLETE
96,82.4140077963899,2025-05-04 05:04:44.892343,2025-05-04 05:04:59.401493,0 days 00:00:14.509150,,,,,,none,,,,,,0.6281787039811194,0.275997957704254,4.0,980.0,109.0,LightGBM,,,,,,,maxabs,,,,,,,21.770188445997018,6792.068681063414,0.8908650396070099,,COMPLETE
97,89.16786743431733,2025-05-04 05:04:44.918660,2025-05-04 05:04:49.677185,0 days 00:00:04.758525,,,,,,none,,,,,,0.9684315089679568,0.22112207576616996,4.0,241.0,69.0,LightGBM,,,,,,,maxabs,,,,,,,23.129804005444235,7950.908582783988,0.8722447999252918,,COMPLETE
98,86.97409601334506,2025-05-04 05:04:44.931564,2025-05-04 05:04:49.871837,0 days 00:00:04.940273,,,,,,none,,,,,,0.9967759663319278,0.2238118622595229,4.0,256.0,93.0,LightGBM,,,,,,,maxabs,,,,,,,22.40421061103225,7564.493377338566,0.8784537194933626,,COMPLETE
99,86.63833775842517,2025-05-04 05:04:44.957941,2025-05-04 05:04:59.646385,0 days 00:00:14.688444,,,,,,none,,,,,,0.9755287025756314,0.2132039407331351,4.0,959.0,89.0,LightGBM,,,,,,,maxabs,,,,,,,21.205761839876615,7506.20156954296,0.8793903522681086,,COMPLETE
100,85.84416475527483,2025-05-04 05:04:44.965449,2025-05-04 05:04:59.336330,0 days 00:00:14.370881,,,,,,none,,,,,,0.9916310435954806,0.2725039496855255,4.0,928.0,87.0,LightGBM,,,,,,,maxabs,,,,,,,21.550076166098695,7369.220622530769,0.8815913621413523,,COMPLETE
101,82.73540416500498,2025-05-04 05:04:44.994614,2025-05-04 05:04:59.288345,0 days 00:00:14.293731,,,,,,none,,,,,,0.9677032998772235,0.22775786789940802,4.0,947.0,96.0,LightGBM,,,,,,,maxabs,,,,,,,20.961316390240114,6845.147102346724,0.8900121755273773,,COMPLETE
102,90.46293890747826,2025-05-04 05:04:45.004901,2025-05-04 05:04:49.798335,0 days 00:00:04.793434,,,,,,none,,,,,,0.9818250396164195,0.18627487178458488,4.0,246.0,97.0,LightGBM,,,,,,,maxabs,,,,,,,22.637073690389826,8183.543315778144,0.8685068250072621,,COMPLETE
103,91.1855557252004,2025-05-04 05:04:45.034849,2025-05-04 05:04:50.749123,0 days 00:00:05.714274,,,,,,none,,,,,,0.9921844151579655,0.20879747236272297,4.0,276.0,104.0,LightGBM,,,,,,,maxabs,,,,,,,22.663911775790393,8314.805572913627,0.8663977030436525,,COMPLETE
104,87.40250657997527,2025-05-04 05:04:45.073218,2025-05-04 05:04:59.865222,0 days 00:00:14.792004,,,,,,none,,,,,,0.9985699694017289,0.2068988174332357,4.0,954.0,87.0,LightGBM,,,,,,,maxabs,,,,,,,20.82801807552203,7639.19815646262,0.877253363093316,,COMPLETE
105,83.49026897393891,2025-05-04 05:04:45.107469,2025-05-04 05:04:59.051769,0 days 00:00:13.944300,,,,,,none,,,,,,0.9794329901878012,0.20197364551640698,4.0,933.0,88.0,LightGBM,,,,,,,maxabs,,,,,,,20.986635581533754,6970.625013340667,0.8879959964382732,,COMPLETE
106,86.17150608205876,2025-05-04 05:04:45.109623,2025-05-04 05:05:01.226850,0 days 00:00:16.117227,,,,,,none,,,,,,0.9832319479264162,0.21031018673713195,4.0,957.0,85.0,LightGBM,,,,,,,maxabs,,,,,,,21.019170125284816,7425.528460450289,0.8806866077948164,,COMPLETE
107,86.6380576917555,2025-05-04 05:04:45.125250,2025-05-04 05:04:58.753058,0 days 00:00:13.627808,,,,,,none,,,,,,0.9410761574196608,0.22403154114073132,4.0,899.0,94.0,LightGBM,,,,,,,maxabs,,,,,,,21.460971136719493,7506.153040599955,0.8793911320311707,,COMPLETE
108,86.81382038489527,2025-05-04 05:04:45.723933,2025-05-04 05:04:52.106056,0 days 00:00:06.382123,,,,,,none,,,,,,0.9486252904336907,0.21711593288674397,5.0,269.0,96.0,LightGBM,,,,,,,maxabs,,,,,,,22.438509209703415,7536.6394098208575,0.8789012770468232,,COMPLETE
109,82.69438663310831,2025-05-04 05:04:45.772923,2025-05-04 05:05:06.411739,0 days 00:00:20.638816,,,,,,none,,,,,,0.9293505385134995,0.2142362008416759,5.0,894.0,99.0,LightGBM,,,,,,,maxabs,,,,,,,20.481557346121406,6838.361580626003,0.8901212052912107,,COMPLETE
110,82.40990666740647,2025-05-04 05:04:45.841531,2025-05-04 05:04:59.068556,0 days 00:00:13.227025,,,,,,none,,,,,,0.9817396553015261,0.2230308434017148,4.0,910.0,95.0,LightGBM,,,,,,,maxabs,,,,,,,20.95753819118802,6791.392716930645,0.8908759009987774,,COMPLETE
111,89.04358279701535,2025-05-04 05:04:46.363808,2025-05-04 05:06:12.837277,0 days 00:01:26.473469,,,,,,none,,,,,,0.949773894821807,0.18816756147623387,-1.0,944.0,91.0,LightGBM,,,,,,,standard,,,,,,,20.72224712884294,7928.759637328927,0.8726006891835563,,COMPLETE
112,86.19431223750959,2025-05-04 05:04:46.820056,2025-05-04 05:05:06.037218,0 days 00:00:19.217162,,,,,,none,,,,,,0.5926889055266942,0.15841496634233,-1.0,226.0,65.0,LightGBM,,,,,,,standard,,,,,,,22.192091801347825,7429.459462097295,0.8806234444598745,,COMPLETE
113,92.20651500130991,2025-05-04 05:04:49.683210,2025-05-04 05:05:46.999228,0 days 00:00:57.316018,,,,,,none,,,,,,0.9902373619590406,0.1771396479417091,-1.0,917.0,59.0,LightGBM,,,,,,,standard,,,,,,,20.365582670643644,8502.04140868679,0.8633891976116884,,COMPLETE
114,76.09029163048591,2025-05-04 05:04:49.803433,2025-05-04 05:05:02.604125,0 days 00:00:12.800692,,,,,,none,,,,,,0.98291412563132,0.19565632042593636,4.0,995.0,72.0,LightGBM,,,,,,,standard,,,,,,,21.117932154535563,5789.732480412395,0.9069705778009173,,COMPLETE
